Time,cpu,mem,gpu,gpu video,gpu enhance
8/21/2023 11:32:08,15.90%,28.353 GB,0%,0%,0%
8/21/2023 11:32:10,19.60%,28.258 GB,0%,0%,0%
8/21/2023 11:32:12,12.90%,28.293 GB,0%,0%,0%
8/21/2023 11:32:14,12.20%,28.289 GB,0%,0%,0%
8/21/2023 11:32:16,13.80%,28.307 GB,0%,0%,0%
8/21/2023 11:32:18,15.90%,28.293 GB,0%,0%,0%
8/21/2023 11:32:20,15.00%,28.290 GB,0%,0%,0%
8/21/2023 11:32:22,16.80%,28.272 GB,0%,0%,0%
8/21/2023 11:32:24,13.90%,28.258 GB,0%,0%,0%
8/21/2023 11:32:26,17.20%,28.237 GB,0%,0%,0%
8/21/2023 11:32:28,1.56%,28.237 GB,0%,0%,0%
8/21/2023 11:32:30,1.50%,28.261 GB,0%,0%,0%
8/21/2023 11:32:32,5.95%,28.264 GB,0%,0%,0%
8/21/2023 11:32:34,2.70%,28.269 GB,0%,0%,0%
8/21/2023 11:32:36,0.63%,28.257 GB,0%,0%,0%
8/21/2023 11:32:38,7.67%,28.250 GB,0%,0%,0%
8/21/2023 11:32:40,5.19%,28.246 GB,0%,0%,0%
8/21/2023 11:32:42,7.13%,28.253 GB,0%,0%,0%
8/21/2023 11:32:44,4.33%,28.229 GB,0%,0%,0%
8/21/2023 11:32:46,8.01%,28.197 GB,0%,0%,0%
8/21/2023 11:32:48,13.10%,28.225 GB,0%,0%,0%
8/21/2023 11:32:50,13.10%,28.147 GB,0%,0%,0%
8/21/2023 11:32:52,13.20%,28.093 GB,0%,0%,0%
8/21/2023 11:32:54,25.40%,28.066 GB,0.03%,0%,0%
8/21/2023 11:32:56,57.70%,28.109 GB,15.30%,0%,0%
8/21/2023 11:32:58,11.00%,27.933 GB,100%,0%,0%
8/21/2023 11:33:00,10.90%,27.993 GB,100%,0%,0%
8/21/2023 11:33:02,10.90%,27.988 GB,100%,0%,0%
8/21/2023 11:33:04,10.90%,27.985 GB,100%,0%,0%
8/21/2023 11:33:06,10.90%,27.981 GB,100%,0%,0%
8/21/2023 11:33:08,10.60%,27.973 GB,100%,0%,0%
8/21/2023 11:33:10,13.50%,27.972 GB,100%,0%,0%
