Time,cpu,mem,gpu,gpu video,gpu enhance
9/5/2023 18:25:45,2.81%,29.538 GB,0%,0%,0%
9/5/2023 18:25:45,6.21%,29.478 GB,0%,0%,0%
9/5/2023 18:25:46,4.88%,29.389 GB,0%,0%,0%
9/5/2023 18:25:47,4.87%,29.382 GB,0%,0%,0%
9/5/2023 18:25:48,4.62%,29.387 GB,0%,0%,0%
9/5/2023 18:25:49,6.33%,29.544 GB,0.25%,0%,0%
9/5/2023 18:25:51,15.00%,29.358 GB,31.10%,0%,0%
9/5/2023 18:25:51,4.00%,29.282 GB,100%,0%,0%
9/5/2023 18:25:52,3.79%,29.279 GB,100%,0%,0%
9/5/2023 18:25:53,3.92%,29.278 GB,100%,0%,0%
9/5/2023 18:25:54,4.00%,29.277 GB,100%,0%,0%
9/5/2023 18:25:55,3.63%,29.275 GB,100%,0%,0%
9/5/2023 18:25:56,3.71%,29.274 GB,100%,0%,0%
9/5/2023 18:25:57,3.79%,29.274 GB,100%,0%,0%
9/5/2023 18:25:58,3.92%,29.271 GB,100%,0%,0%
9/5/2023 18:25:59,4.17%,29.269 GB,100%,0%,0%
9/5/2023 18:26:00,3.88%,29.268 GB,100%,0%,0%
9/5/2023 18:26:01,3.71%,29.268 GB,100%,0%,0%
9/5/2023 18:26:02,3.84%,29.267 GB,100%,0%,0%
9/5/2023 18:26:03,3.71%,29.266 GB,100%,0%,0%
9/5/2023 18:26:04,3.75%,29.264 GB,100%,0%,0%
9/5/2023 18:26:05,3.75%,29.264 GB,100%,0%,0%
9/5/2023 18:26:06,3.88%,29.265 GB,100%,0%,0%
9/5/2023 18:26:08,3.79%,29.264 GB,100%,0%,0%
9/5/2023 18:26:08,3.59%,29.263 GB,100%,0%,0%
9/5/2023 18:26:09,3.54%,29.264 GB,100%,0%,0%
9/5/2023 18:26:11,2.46%,29.263 GB,73.30%,0%,0%
9/5/2023 18:26:11,0.21%,29.538 GB,0%,0%,0%
9/5/2023 18:26:12,2.34%,29.535 GB,0%,0%,0%
9/5/2023 18:26:13,17.60%,29.450 GB,0.85%,0%,0%
9/5/2023 18:26:15,3.71%,29.281 GB,100%,0%,0%
9/5/2023 18:26:15,3.75%,29.277 GB,100%,0%,0%
9/5/2023 18:26:16,3.88%,29.274 GB,100%,0%,0%
9/5/2023 18:26:17,4.33%,29.273 GB,100%,0%,0%
9/5/2023 18:26:18,3.75%,29.272 GB,100%,0%,0%
9/5/2023 18:26:19,3.71%,29.271 GB,100%,0%,0%
9/5/2023 18:26:20,3.75%,29.270 GB,100%,0%,0%
9/5/2023 18:26:21,3.88%,29.267 GB,100%,0%,0%
9/5/2023 18:26:22,3.75%,29.269 GB,100%,0%,0%
9/5/2023 18:26:23,3.67%,29.271 GB,100%,0%,0%
9/5/2023 18:26:25,4.17%,29.270 GB,100%,0%,0%
9/5/2023 18:26:26,3.92%,29.267 GB,100%,0%,0%
9/5/2023 18:26:26,4.21%,29.267 GB,100%,0%,0%
9/5/2023 18:26:27,3.79%,29.263 GB,100%,0%,0%
9/5/2023 18:26:29,3.62%,29.267 GB,100%,0%,0%
9/5/2023 18:26:29,3.75%,29.267 GB,100%,0%,0%
9/5/2023 18:26:31,4.37%,29.265 GB,100%,0%,0%
9/5/2023 18:26:31,3.75%,29.266 GB,100%,0%,0%
9/5/2023 18:26:32,4.46%,29.265 GB,100%,0%,0%
9/5/2023 18:26:33,4.25%,29.270 GB,100%,0%,0%
9/5/2023 18:26:34,0.29%,29.539 GB,0%,0%,0%
9/5/2023 18:26:36,0.29%,29.539 GB,0%,0%,0%
9/5/2023 18:26:36,10.70%,29.538 GB,0.29%,0%,0%
9/5/2023 18:26:37,11.30%,29.304 GB,53.90%,0%,0%
9/5/2023 18:26:38,3.59%,29.309 GB,93.20%,0%,0%
9/5/2023 18:26:39,4.37%,29.306 GB,100%,0%,0%
9/5/2023 18:26:40,4.42%,29.308 GB,100%,0%,0%
9/5/2023 18:26:41,3.54%,29.307 GB,100%,0%,0%
9/5/2023 18:26:42,4.30%,29.307 GB,100%,0%,0%
9/5/2023 18:26:43,3.84%,29.304 GB,100%,0%,0%
9/5/2023 18:26:44,3.88%,29.304 GB,100%,0%,0%
9/5/2023 18:26:46,3.79%,29.305 GB,100%,0%,0%
9/5/2023 18:26:47,4.17%,29.305 GB,100%,0%,0%
9/5/2023 18:26:47,3.88%,29.305 GB,100%,0%,0%
9/5/2023 18:26:48,3.75%,29.307 GB,100%,0%,0%
9/5/2023 18:26:50,3.71%,29.305 GB,100%,0%,0%
9/5/2023 18:26:50,3.92%,29.305 GB,100%,0%,0%
9/5/2023 18:26:52,3.96%,29.304 GB,100%,0%,0%
9/5/2023 18:26:53,3.79%,29.303 GB,100%,0%,0%
9/5/2023 18:26:53,3.83%,29.301 GB,100%,0%,0%
9/5/2023 18:26:55,3.67%,29.299 GB,100%,0%,0%
9/5/2023 18:26:55,3.96%,29.300 GB,100%,0%,0%
9/5/2023 18:26:56,3.62%,29.300 GB,100%,0%,0%
9/5/2023 18:26:57,1.71%,29.300 GB,47.20%,0%,0%
9/5/2023 18:26:59,0.25%,29.534 GB,0%,0%,0%
9/5/2023 18:26:59,2.83%,29.533 GB,0.07%,0%,0%
9/5/2023 18:27:00,17.30%,29.449 GB,13.30%,0%,0%
9/5/2023 18:27:01,3.71%,29.248 GB,100%,0%,0%
9/5/2023 18:27:02,3.71%,29.245 GB,100%,0%,0%
9/5/2023 18:27:03,3.79%,29.246 GB,100%,0%,0%
9/5/2023 18:27:05,3.92%,29.244 GB,100%,0%,0%
9/5/2023 18:27:05,4.34%,29.243 GB,100%,0%,0%
9/5/2023 18:27:06,4.04%,29.241 GB,100%,0%,0%
9/5/2023 18:27:07,3.97%,29.239 GB,100%,0%,0%
9/5/2023 18:27:08,3.83%,29.237 GB,100%,0%,0%
9/5/2023 18:27:09,3.79%,29.239 GB,100%,0%,0%
9/5/2023 18:27:10,4.42%,29.236 GB,100%,0%,0%
9/5/2023 18:27:11,3.79%,29.239 GB,100%,0%,0%
9/5/2023 18:27:13,5.29%,29.239 GB,100%,0%,0%
9/5/2023 18:27:13,4.08%,29.243 GB,100%,0%,0%
9/5/2023 18:27:15,4.21%,29.240 GB,100%,0%,0%
9/5/2023 18:27:15,4.42%,29.235 GB,100%,0%,0%
9/5/2023 18:27:16,4.59%,29.235 GB,100%,0%,0%
9/5/2023 18:27:17,4.42%,29.241 GB,100%,0%,0%
9/5/2023 18:27:18,3.92%,29.240 GB,100%,0%,0%
9/5/2023 18:27:19,3.92%,29.238 GB,100%,0%,0%
9/5/2023 18:27:20,3.12%,29.238 GB,91.80%,0%,0%
